"location","hits","keyword","geo","gprop","end.date","start.date"
"St. Martin","","paralysis tick","world","web",2018-04-13,2018-04-06
"Morocco","","paralysis tick","world","web",2018-04-13,2018-04-06
"Monaco","","paralysis tick","world","web",2018-04-13,2018-04-06
"Madagascar","","paralysis tick","world","web",2018-04-13,2018-04-06
"Maldives","","paralysis tick","world","web",2018-04-13,2018-04-06
"Marshall Islands","","paralysis tick","world","web",2018-04-13,2018-04-06
"Mali","","paralysis tick","world","web",2018-04-13,2018-04-06
"Malta","","paralysis tick","world","web",2018-04-13,2018-04-06
"Myanmar (Burma)","","paralysis tick","world","web",2018-04-13,2018-04-06
"Montenegro","","paralysis tick","world","web",2018-04-13,2018-04-06
"Mongolia","","paralysis tick","world","web",2018-04-13,2018-04-06
"Northern Mariana Islands","","paralysis tick","world","web",2018-04-13,2018-04-06
"Mozambique","","paralysis tick","world","web",2018-04-13,2018-04-06
"Mauritania","","paralysis tick","world","web",2018-04-13,2018-04-06
"Montserrat","","paralysis tick","world","web",2018-04-13,2018-04-06
"Martinique","","paralysis tick","world","web",2018-04-13,2018-04-06
"Mauritius","","paralysis tick","world","web",2018-04-13,2018-04-06
"Malawi","","paralysis tick","world","web",2018-04-13,2018-04-06
"Mayotte","","paralysis tick","world","web",2018-04-13,2018-04-06
"New Caledonia","","paralysis tick","world","web",2018-04-13,2018-04-06
"Niger","","paralysis tick","world","web",2018-04-13,2018-04-06
"Norfolk Island","","paralysis tick","world","web",2018-04-13,2018-04-06
"Nicaragua","","paralysis tick","world","web",2018-04-13,2018-04-06
"Niue","","paralysis tick","world","web",2018-04-13,2018-04-06
"Norway","","paralysis tick","world","web",2018-04-13,2018-04-06
"Nauru","","paralysis tick","world","web",2018-04-13,2018-04-06
"Panama","","paralysis tick","world","web",2018-04-13,2018-04-06
"Pitcairn Islands","","paralysis tick","world","web",2018-04-13,2018-04-06
"Peru","","paralysis tick","world","web",2018-04-13,2018-04-06
"Palau","","paralysis tick","world","web",2018-04-13,2018-04-06
"Papua New Guinea","","paralysis tick","world","web",2018-04-13,2018-04-06
"Puerto Rico","","paralysis tick","world","web",2018-04-13,2018-04-06
"North Korea","","paralysis tick","world","web",2018-04-13,2018-04-06
"Portugal","","paralysis tick","world","web",2018-04-13,2018-04-06
"Paraguay","","paralysis tick","world","web",2018-04-13,2018-04-06
"Palestine","","paralysis tick","world","web",2018-04-13,2018-04-06
"French Polynesia","","paralysis tick","world","web",2018-04-13,2018-04-06
"Qatar","","paralysis tick","world","web",2018-04-13,2018-04-06
"Réunion","","paralysis tick","world","web",2018-04-13,2018-04-06
"Romania","","paralysis tick","world","web",2018-04-13,2018-04-06
"Russia","","paralysis tick","world","web",2018-04-13,2018-04-06
"Rwanda","","paralysis tick","world","web",2018-04-13,2018-04-06
"Senegal","","paralysis tick","world","web",2018-04-13,2018-04-06
"South Georgia & South Sandwich Islands","","paralysis tick","world","web",2018-04-13,2018-04-06
"St. Helena","","paralysis tick","world","web",2018-04-13,2018-04-06
"Svalbard & Jan Mayen","","paralysis tick","world","web",2018-04-13,2018-04-06
"Solomon Islands","","paralysis tick","world","web",2018-04-13,2018-04-06
"Sierra Leone","","paralysis tick","world","web",2018-04-13,2018-04-06
"El Salvador","","paralysis tick","world","web",2018-04-13,2018-04-06
"San Marino","","paralysis tick","world","web",2018-04-13,2018-04-06
"Somalia","","paralysis tick","world","web",2018-04-13,2018-04-06
"St. Pierre & Miquelon","","paralysis tick","world","web",2018-04-13,2018-04-06
"Serbia","","paralysis tick","world","web",2018-04-13,2018-04-06
"South Sudan","","paralysis tick","world","web",2018-04-13,2018-04-06
"São Tomé & Príncipe","","paralysis tick","world","web",2018-04-13,2018-04-06
"Suriname","","paralysis tick","world","web",2018-04-13,2018-04-06
"Slovakia","","paralysis tick","world","web",2018-04-13,2018-04-06
"Slovenia","","paralysis tick","world","web",2018-04-13,2018-04-06
"Swaziland","","paralysis tick","world","web",2018-04-13,2018-04-06
"Sint Maarten","","paralysis tick","world","web",2018-04-13,2018-04-06
"Seychelles","","paralysis tick","world","web",2018-04-13,2018-04-06
"Turks & Caicos Islands","","paralysis tick","world","web",2018-04-13,2018-04-06
"Chad","","paralysis tick","world","web",2018-04-13,2018-04-06
"Togo","","paralysis tick","world","web",2018-04-13,2018-04-06
"Tajikistan","","paralysis tick","world","web",2018-04-13,2018-04-06
"Tokelau","","paralysis tick","world","web",2018-04-13,2018-04-06
"Turkmenistan","","paralysis tick","world","web",2018-04-13,2018-04-06
"Timor-Leste","","paralysis tick","world","web",2018-04-13,2018-04-06
"Tonga","","paralysis tick","world","web",2018-04-13,2018-04-06
"Trinidad & Tobago","","paralysis tick","world","web",2018-04-13,2018-04-06
"Tunisia","","paralysis tick","world","web",2018-04-13,2018-04-06
"Tuvalu","","paralysis tick","world","web",2018-04-13,2018-04-06
"Taiwan","","paralysis tick","world","web",2018-04-13,2018-04-06
"Uganda","","paralysis tick","world","web",2018-04-13,2018-04-06
