"location","hits","keyword","geo","gprop","end.date","start.date"
"Caribbean Netherlands",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Burkina Faso",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Bangladesh",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Bulgaria",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Bahrain",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Bahamas",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Bosnia & Herzegovina",NA,"dog flea","world","web",2018-04-13,2018-04-06
"St. Barthélemy",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Belarus",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Belize",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Bermuda",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Bolivia",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Brazil",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Barbados",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Brunei",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Bhutan",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Bouvet Island",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Botswana",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Central African Republic",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Cocos (Keeling) Islands",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Switzerland",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Chile",NA,"dog flea","world","web",2018-04-13,2018-04-06
"China",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Côte d’Ivoire",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Cameroon",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Congo - Kinshasa",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Congo - Brazzaville",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Cook Islands",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Colombia",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Comoros",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Cape Verde",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Costa Rica",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Cuba",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Curaçao",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Christmas Island",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Cayman Islands",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Cyprus",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Czechia",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Germany",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Djibouti",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Dominica",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Denmark",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Dominican Republic",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Algeria",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Ecuador",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Egypt",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Eritrea",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Western Sahara",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Estonia",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Ethiopia",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Finland",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Fiji",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Falkland Islands (Islas Malvinas)",NA,"dog flea","world","web",2018-04-13,2018-04-06
"France",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Faroe Islands",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Micronesia",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Gabon",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Georgia",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Guernsey",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Ghana",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Gibraltar",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Guinea",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Guadeloupe",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Gambia",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Guinea-Bissau",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Equatorial Guinea",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Greece",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Grenada",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Greenland",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Guatemala",NA,"dog flea","world","web",2018-04-13,2018-04-06
"French Guiana",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Guam",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Guyana",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Hong Kong",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Heard & McDonald Islands",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Honduras",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Croatia",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Haiti",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Hungary",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Isle of Man",NA,"dog flea","world","web",2018-04-13,2018-04-06
"British Indian Ocean Territory",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Iran",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Iraq",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Iceland",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Israel",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Italy",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Jamaica",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Jersey",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Jordan",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Japan",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Kazakhstan",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Kenya",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Kyrgyzstan",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Cambodia",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Kiribati",NA,"dog flea","world","web",2018-04-13,2018-04-06
"St. Kitts & Nevis",NA,"dog flea","world","web",2018-04-13,2018-04-06
"South Korea",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Kuwait",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Laos",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Lebanon",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Liberia",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Libya",NA,"dog flea","world","web",2018-04-13,2018-04-06
"St. Lucia",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Liechtenstein",NA,"dog flea","world","web",2018-04-13,2018-04-06
"Sri Lanka",NA,"dog flea","world","web",2018-04-13,2018-04-06
